date,open,high,close,low,volume,amount
2016-11-11,3.85,3.93,3.87,3.82,19592420.0,170347481.0
2016-11-10,3.88,4.0,3.85,3.84,24130667.0,212293907.0
2016-11-09,3.85,3.88,3.83,3.76,14354326.0,123420278.0
2016-11-08,3.85,3.94,3.88,3.8,18428809.0,159698624.0
2016-11-07,3.8,3.95,3.85,3.79,22435228.0,194948876.0
2016-11-04,3.74,3.81,3.79,3.7,15151057.0,128299049.0
2016-11-03,3.67,3.76,3.73,3.67,10292405.0,86126785.0
2016-11-02,3.69,3.72,3.69,3.64,7608469.0,62979505.0
2016-11-01,3.69,3.71,3.7,3.66,6083103.0,50349185.0
2016-10-31,3.64,3.69,3.69,3.61,5772145.0,47308233.0
2016-10-28,3.72,3.74,3.65,3.64,10257299.0,84872560.0
2016-10-27,3.74,3.78,3.73,3.7,10250213.0,85773570.0
2016-10-26,3.73,3.81,3.76,3.71,17423223.0,147430835.0
2016-10-25,3.72,3.77,3.73,3.7,8214880.0,68776468.0
2016-10-24,3.65,3.78,3.74,3.62,14309932.0,119194517.0
2016-10-21,3.64,3.69,3.65,3.59,12439932.0,101837572.0
2016-10-20,3.58,3.64,3.64,3.56,8070647.0,65468066.0
2016-10-19,3.62,3.64,3.58,3.56,6776709.0,54806054.0
2016-10-18,3.54,3.62,3.62,3.54,6289625.0,50658201.0
2016-10-17,3.58,3.66,3.58,3.56,10355192.0,84106309.0
2016-10-14,3.58,3.59,3.58,3.54,5454426.0,43640945.0
2016-10-13,3.58,3.62,3.6,3.57,6939008.0,56109658.0
2016-10-12,3.58,3.58,3.58,3.56,6465803.0,51845005.0
2016-10-11,3.58,3.62,3.59,3.56,7770266.0,62633709.0
2016-10-10,3.55,3.61,3.59,3.52,8593613.0,68955207.0
2016-09-30,3.51,3.55,3.54,3.5,5240285.0,41553984.0
2016-09-29,3.47,3.53,3.51,3.46,5638384.0,44345927.0
2016-09-28,3.47,3.5,3.47,3.46,2863198.0,22310154.0
2016-09-27,3.42,3.49,3.47,3.41,4796898.0,37140526.0
2016-09-26,3.46,3.52,3.45,3.44,6916593.0,53983601.0
2016-09-23,3.51,3.52,3.46,3.45,5192665.0,40639647.0
2016-09-22,3.51,3.54,3.5,3.49,4027100.0,31751740.0
2016-09-21,3.47,3.51,3.5,3.47,3712334.0,29169756.0
2016-09-20,3.49,3.5,3.5,3.46,3683099.0,28779732.0
2016-09-19,3.45,3.49,3.49,3.43,3830449.0,29807523.0
2016-09-14,3.44,3.49,3.42,3.41,5982146.0,46217457.0
2016-09-13,3.42,3.47,3.45,3.42,4363600.0,33790079.0
2016-09-12,3.48,3.5,3.41,3.41,12349105.0,95557468.0
2016-09-09,3.64,3.64,3.57,3.57,12119740.0,98040238.0
2016-09-08,3.52,3.64,3.64,3.52,18462574.0,149071614.0
2016-09-07,3.56,3.6,3.53,3.51,10925308.0,87219841.0
2016-09-06,3.59,3.61,3.58,3.53,9986968.0,79878417.0
2016-09-05,3.54,3.59,3.58,3.51,13717614.0,109580059.0
2016-09-02,3.46,3.56,3.52,3.43,10784004.0,85051583.0
2016-09-01,3.46,3.53,3.46,3.45,9026250.0,70954663.0
2016-08-31,3.45,3.5,3.47,3.44,3926045.0,30532581.0
2016-08-30,3.48,3.51,3.47,3.45,5574471.0,43538877.0
2016-08-29,3.41,3.5,3.49,3.39,8253332.0,64169601.0
2016-08-26,3.4,3.45,3.41,3.4,4076425.0,31346243.0
2016-08-25,3.4,3.42,3.4,3.35,4856077.0,36808956.0
2016-08-24,3.46,3.48,3.43,3.41,6255565.0,48351892.0
2016-08-23,3.42,3.52,3.46,3.4,11016481.0,85465368.0
2016-08-22,3.44,3.45,3.41,3.38,4500778.0,34424829.0
2016-08-19,3.41,3.44,3.43,3.4,4397952.0,33791026.0
2016-08-18,3.41,3.45,3.41,3.4,5842750.0,44929622.0
2016-08-17,3.42,3.44,3.41,3.39,5391838.0,41369694.0
2016-08-16,3.39,3.42,3.42,3.39,8678847.0,66427412.0
2016-08-15,3.32,3.4,3.39,3.31,7251041.0,54782224.0
2016-08-12,3.3,3.33,3.33,3.27,5520824.0,40827685.0
2016-08-11,3.34,3.38,3.3,3.29,4674459.0,34876574.0
2016-08-10,3.37,3.39,3.35,3.34,3561917.0,26896301.0
2016-08-09,3.37,3.38,3.38,3.33,4391554.0,33203161.0
2016-08-08,3.32,3.37,3.36,3.26,4522020.0,33804887.0
2016-08-05,3.35,3.36,3.31,3.29,5153161.0,38514379.0
2016-08-04,3.29,3.46,3.37,3.29,9368434.0,71366219.0
2016-08-03,3.28,3.35,3.31,3.25,4323774.0,32216812.0
2016-08-02,3.23,3.28,3.28,3.23,3176001.0,23268602.0
2016-08-01,3.29,3.3,3.23,3.2,5142110.0,37199655.0
2016-07-29,3.33,3.34,3.3,3.28,3527508.0,26203680.0
2016-07-28,3.3,3.36,3.33,3.25,7779079.0,57806136.0
2016-07-27,3.57,3.61,3.33,3.25,13781121.0,106657269.0
2016-07-26,3.51,3.61,3.58,3.5,9707354.0,77580405.0
2016-07-25,3.48,3.52,3.52,3.46,5574267.0,43805961.0
2016-07-22,3.52,3.53,3.48,3.47,5693673.0,44736728.0
2016-07-21,3.55,3.56,3.53,3.51,7327245.0,58218191.0
2016-07-20,3.5,3.63,3.54,3.5,14004890.0,112215380.0
2016-07-19,3.51,3.52,3.51,3.45,5106471.0,39976819.0
2016-07-18,3.49,3.52,3.48,3.45,5542922.0,43364244.0
2016-07-15,3.57,3.58,3.51,3.5,6153350.0,48776870.0
2016-07-14,3.55,3.58,3.55,3.53,8259482.0,65950868.0
2016-07-13,3.5,3.55,3.55,3.49,8359913.0,66227111.0
2016-07-12,3.5,3.51,3.5,3.41,8877548.0,69216693.0
2016-07-11,3.49,3.54,3.49,3.48,6419825.0,50732961.0
2016-07-08,3.51,3.56,3.5,3.48,7578087.0,59960528.0
2016-07-07,3.52,3.54,3.5,3.46,8646362.0,67937791.0
2016-07-06,3.56,3.57,3.53,3.5,10546645.0,83511340.0
2016-07-05,3.56,3.59,3.57,3.53,10406598.0,83214206.0
2016-07-04,3.47,3.58,3.56,3.46,12073980.0,95899805.0
2016-07-01,3.5,3.71,3.52,3.48,19054458.0,153241155.0
2016-06-30,3.5,3.52,3.47,3.45,9274096.0,72599734.0
2016-06-29,3.46,3.54,3.51,3.44,16722026.0,131429173.0
2016-06-28,3.41,3.47,3.45,3.38,11808203.0,91132450.0
2016-06-27,3.29,3.44,3.42,3.27,11218167.0,85268827.0
2016-06-24,3.46,3.55,3.37,3.26,19283031.0,148245167.0
2016-06-23,3.41,3.46,3.46,3.34,14079371.0,108201179.0
2016-06-22,3.28,3.41,3.41,3.28,7324508.0,55276524.0
2016-06-21,3.36,3.45,3.31,3.28,8269502.0,62780462.0
2016-06-20,3.34,3.4,3.35,3.31,4538663.0,34121935.0
2016-06-17,3.35,3.41,3.35,3.33,6195952.0,47035646.0
2016-06-16,3.33,3.45,3.35,3.31,9718612.0,73712167.0
2016-06-15,3.21,3.33,3.32,3.18,5984268.0,44149853.0
2016-06-14,3.19,3.25,3.23,3.16,3509497.0,25283083.0
2016-06-13,3.37,3.4,3.21,3.21,8828170.0,65794010.0
2016-06-08,3.44,3.44,3.42,3.39,5489135.0,42086930.0
2016-06-07,3.41,3.46,3.45,3.39,7159999.0,55200425.0
2016-06-06,3.44,3.47,3.4,3.37,7513076.0,57530163.0
2016-06-03,3.41,3.5,3.43,3.38,13256444.0,102480625.0
2016-06-02,3.41,3.47,3.41,3.37,16773356.0,129092427.0
2016-06-01,3.32,3.43,3.42,3.3,14695442.0,111474073.0
2016-05-31,3.2,3.32,3.32,3.2,9357574.0,69069811.0
2016-05-30,3.25,3.26,3.19,3.19,4586611.0,33128276.0
2016-05-27,3.24,3.27,3.25,3.21,5526221.0,40345284.0
2016-05-26,3.33,3.33,3.29,3.17,9904340.0,72018090.0
2016-05-25,3.22,3.37,3.32,3.2,15252969.0,112538914.0
2016-05-24,3.2,3.22,3.18,3.16,3466833.0,24776288.0
2016-05-23,3.2,3.23,3.22,3.18,4084884.0,29468538.0
2016-05-20,3.13,3.19,3.18,3.1,4230889.0,30004972.0
2016-05-19,3.16,3.23,3.16,3.16,4242717.0,30453250.0
2016-05-18,3.29,3.29,3.16,3.12,5751957.0,41269040.0
2016-05-17,3.33,3.35,3.3,3.28,4656339.0,34669784.0
2016-05-16,3.32,3.33,3.33,3.21,5086581.0,37583498.0
2016-05-13,3.29,3.33,3.28,3.25,6028412.0,44528578.0
2016-05-12,3.43,3.43,3.31,3.25,9729783.0,72783643.0
2016-05-11,3.41,3.47,3.43,3.36,6641060.0,51003649.0
2016-05-10,3.5,3.52,3.41,3.36,8656442.0,66654944.0
2016-05-09,3.45,3.59,3.51,3.3,22496326.0,176060016.0
2016-05-06,3.64,3.64,3.47,3.47,15217540.0,120970824.0
2016-05-05,3.6,3.67,3.63,3.58,17913376.0,146047648.0
2016-05-04,3.56,3.66,3.62,3.53,24489446.0,198142176.0
2016-05-03,3.45,3.58,3.58,3.43,18093530.0,143332224.0
2016-04-29,3.56,3.6,3.49,3.48,20624792.0,163167664.0
2016-04-28,3.76,3.78,3.64,3.54,41827996.0,342193568.0
2016-04-27,3.52,3.74,3.74,3.52,27700040.0,231485600.0
2016-04-26,3.42,3.43,3.4,3.34,5379920.0,40813516.0
2016-04-25,3.36,3.41,3.39,3.29,7021179.0,53198460.0
2016-04-22,3.27,3.37,3.36,3.25,6127013.0,45749216.0
2016-04-21,3.35,3.45,3.33,3.3,10375603.0,79082120.0
2016-04-20,3.62,3.63,3.34,3.29,19207364.0,148246384.0
2016-04-19,3.6,3.65,3.61,3.58,12196572.0,98738152.0
2016-04-18,3.72,3.72,3.62,3.56,24017894.0,196149824.0
2016-04-15,3.67,3.8,3.78,3.62,34473676.0,288097632.0
2016-04-14,3.65,3.67,3.67,3.6,13209892.0,107865744.0
2016-04-13,3.57,3.7,3.62,3.57,20056452.0,164391888.0
2016-04-12,3.6,3.62,3.57,3.52,11627551.0,92934336.0
2016-04-11,3.64,3.7,3.63,3.61,24534708.0,200943824.0
2016-04-08,3.45,3.63,3.61,3.38,18618756.0,147603168.0
2016-04-07,3.6,3.66,3.5,3.49,18502256.0,149111456.0
2016-04-06,3.52,3.69,3.61,3.51,25035286.0,203539440.0
2016-04-05,3.43,3.59,3.55,3.43,11433775.0,90574920.0
2016-04-01,3.45,3.47,3.46,3.36,9157597.0,70282288.0
2016-03-31,3.48,3.5,3.46,3.43,9938807.0,77377224.0
2016-03-30,3.36,3.46,3.46,3.36,10093567.0,77462096.0
2016-03-29,3.46,3.46,3.35,3.31,10658501.0,80792912.0
2016-03-28,3.48,3.62,3.46,3.45,22675264.0,180496832.0
2016-03-25,3.38,3.47,3.46,3.38,9405923.0,72423488.0
2016-03-24,3.5,3.51,3.41,3.39,14406337.0,111954360.0
2016-03-23,3.55,3.61,3.56,3.48,23337336.0,185412080.0
2016-03-22,3.42,3.64,3.61,3.38,23733902.0,186674864.0
2016-03-21,3.39,3.47,3.45,3.37,18222248.0,139979504.0
2016-03-18,3.26,3.38,3.35,3.25,15844690.0,118644088.0
2016-03-17,3.14,3.27,3.25,3.14,12516039.0,90762992.0
2016-03-16,3.17,3.21,3.14,3.12,5709914.0,40514140.0
2016-03-15,3.2,3.24,3.16,3.15,6782601.0,48646444.0
2016-03-14,3.14,3.27,3.21,3.13,10334761.0,74716112.0
2016-03-11,3.1,3.13,3.1,3.05,6560419.0,45571520.0
2016-03-10,3.13,3.28,3.16,3.13,11429401.0,82006240.0
2016-03-09,3.11,3.18,3.13,3.03,6536663.0,45866340.0
2016-03-08,3.12,3.22,3.21,2.98,10669998.0,74690288.0
2016-03-07,3.06,3.15,3.13,3.06,7836326.0,54869088.0
2016-03-04,3.18,3.2,3.04,2.97,10992571.0,76205320.0
2016-03-03,3.21,3.26,3.19,3.17,10841889.0,78254792.0
2016-03-02,3.06,3.21,3.21,3.02,10425071.0,73311576.0
2016-03-01,2.96,3.07,3.04,2.95,7429009.0,50135188.0
2016-02-29,3.1,3.13,2.95,2.88,9335690.0,61986884.0
2016-02-26,3.29,3.29,3.15,3.03,10707334.0,76417360.0
2016-02-25,3.52,3.56,3.21,3.21,15076992.0,113898520.0
2016-02-24,3.63,3.63,3.57,3.48,11989002.0,95777720.0
2016-02-23,3.6,3.61,3.52,3.47,11216771.0,88915944.0
2016-02-22,3.55,3.6,3.6,3.5,16483191.0,131650288.0
